Date,-TBond Futures-Volume,-TBond Futures-Previous Day Open Interest,-TBond Futures-Open
2017-02-22,288249.0,582748.0,151.21875
2017-02-23,505135.0,489192.0,151.40625
2017-02-24,474384.0,329769.0,152.03125
2017-02-27,490768.0,155295.0,153.28125
2017-02-28,322479.0,51967.0,152.71875
2017-03-01,74649.0,20808.0,152.28125
2017-03-02,27948.0,15457.0,150.9375
2017-03-03,8517.0,12481.0,150.5
2017-03-06,4497.0,10243.0,150.46875
2017-03-07,4306.0,7615.0,150.21875
2017-03-08,1972.0,6830.0,149.96875
2017-03-09,2227.0,4183.0,149.125
2017-03-10,1072.0,3738.0,147.84375
2017-03-13,1194.0,3146.0,148.3125
2017-03-14,1762.0,2340.0,147.5
2017-03-15,1586.0,1656.0,148.0625
2017-03-16,532.0,1328.0,149.78125
2017-03-17,696.0,858.0,148.9375
2017-03-20,757.0,610.0,150.25
2017-03-21,109.0,547.0,150.125
2017-03-22,201.0,424.0,151.71875
2017-03-23,94.0,628788.0,150.65625
2017-03-24,251874.0,622221.0,150.5
2017-03-27,193467.0,621012.0,150.90625
2017-03-28,201411.0,624700.0,151.34375
2017-03-29,229052.0,624556.0,150.53125
2017-03-30,208885.0,629646.0,151.28125
2017-03-31,195153.0,631837.0,150.4375
2017-04-03,257558.0,630598.0,150.96875
2017-04-04,295362.0,635641.0,152.3125
2017-04-05,218317.0,639961.0,151.5625
2017-04-06,284055.0,652115.0,151.875
2017-04-07,200500.0,654629.0,151.75
2017-04-10,347985.0,655489.0,151.375
2017-04-11,183638.0,644221.0,151.6875
2017-04-12,255402.0,642895.0,152.96875
2017-04-13,262087.0,642477.0,153.90625
2017-04-17,226519.0,642578.0,154.1875
